course-code,course-title,credits,description,mortarboard,Requisites:
E C E 353,INTRODUCTION TO MICROPROCESSOR SYSTEMS,3,"Introduction to architecture, operation, and application of microprocessors; microprocessor programming; address decoding; system timing; parallel, serial, and analog I/O; interrupts and direct memory access; interfacing to static and dynamic RAM; microcontrollers.",False,"E C E/COMP SCI  252 and (COMP SCI 300 or 302 prior to Fall 2018), or member of Engineering Guest Students"
E C E/COMP SCI  354,MACHINE ORGANIZATION AND PROGRAMMING,3,"An introduction to fundamental structures of computer systems and the C programming language with a focus on the low-level interrelationships and impacts on performance. Topics include the virtual address space and virtual memory, the heap and dynamic memory management, the memory hierarchy and caching, assembly language and the stack, communication and interrupts/signals, compiling and assemblers/linkers.",True,E C E/COMP SCI  252 and (COMP SCI 300 or 302) or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
E C E 355,ELECTROMECHANICAL ENERGY CONVERSION,3,"Energy storage and conversion, force and emf production, coupled circuit analysis of systems with both electrical and mechanical inputs. Applications to electric motors and generators and other electromechanical transducers.",False,"E C E 230 or 376, graduate/professional standing, member of Engineering Guest Students, or declared in Capstone Certificate in Power Conversion and Control"
E C E 356,ELECTRIC POWER PROCESSING FOR ALTERNATIVE ENERGY SYSTEMS,3,"Introduction to electrical power processing technologies that are necessary to convert energy from alternative sources into useful electrical forms. Several specific alternative energy sources are examined, providing platforms for introducing basic concepts in power electronics, electric machines, and adjustable-speed drives.",False,(E C E 230 or 376) or member of Engineering Guest Students
E C E 370,ADVANCED LABORATORY,2,Experiments related to the required core material.,False,"E C E 271 and (E C E 340 or concurrent enrollment), or member of Engineering Guest Students"
E C E 376,ELECTRICAL AND ELECTRONIC CIRCUITS,3,"Ohm's law, Kirchhoff's laws, resistive circuits, nodal and mesh analysis, superposition, equivalent circuits using Thevenin and Norton Theorems, op amps and op amp circuits, capacitors and inductors in first-order circuits, sinusoidal steady state, phasors, RMS value, complex power, power factor, mutual inductance, linear and ideal transformers.",False,"(MATH 222 or 276) and (PHYSICS 202, 208, or 248), or member of Engineering Guest Students. Not open to students with credit for ."
E C E 377,FUNDAMENTALS OF ELECTRICAL AND ELECTRO-MECHANICAL POWER CONVERSION,3,Fundamentals of electromagnetic induction and application to transformers and induction heating; Lorentz forces with a focus on the operation and control of DC and AC motors and linear actuators; electrical power conversion using power electronics for motor drives and direct power converters.,False,"(MATH 234 or 376), (PHYSICS 202, 208, or 248), and E C E 376, or member of Engineering Guest Students"
E C E 379,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING,1-4,Topics of special interest to undergrads in electrical and computer engineering.,False,Sophomore standing or member of Engineering Guest Students
E C E 399,INDEPENDENT STUDY,1-3,Directed study projects as arranged with instructor.,False,Consent of instructor
E C E 401,ELECTRO-ACOUSTICAL ENGINEERING,3,"Principles of plane and spherical sound waves; acoustical, mechanical, and electrical analogies; electroacoustic transducer materials and techniques; specific types of transducers such as microphones and loudspeakers.",False,"E C E 203, graduate/professional standing, or member of Engineering Guest Students"
E C E 411,INTRODUCTION TO ELECTRIC DRIVE SYSTEMS,3,"Basic concepts of electric drive systems. Emphasis on system analysis and application. Topics include: dc machine control, variable frequency operation of induction and synchronous machines, unbalanced operation, scaling laws, adjustable speed drives, adjustable torque drives, coupled circuit modeling of ac machines.",False,"(E C E 355, 356, or 377), graduate/professional standing, or member of Engineering Guest Students, or declared in Power Conversion and Control Capstone Certificate"
E C E 412,POWER ELECTRONIC CIRCUITS,3,"Operating characteristics of power semiconductor devices such as Bipolar Junction Transistors, IGBTs, MOSFETs and Thyristors. Fundamentals of power converter circuits including dc/dc converters, phase controlled ac/dc rectifiers and dc/ac inverters. Practical issues in the design and operation of converters.",False,N/A
E C E 420,ELECTROMAGNETIC WAVE TRANSMISSION,3,"Transmission lines: frequency domain analysis of radio frequency and microwave transmission circuits including power relations and graphical and computer methods. Electromagnetic waves: planar optical components, pulse dispersion, phase front considerations for optical components, conducting waveguides, dielectric waveguides. Radiation: retarded potentials, elemental dipoles, radiating antenna characterization, receiving mode.",False,"E C E 320, graduate/professional standing, or member of Engineering Guest Students"
E C E 427,ELECTRIC POWER SYSTEMS,3,"The electric power industry, operation of power systems, load flow, fault calculations, economic dispatch, general technical problems of electric power networks.",False,"E C E 330, graduate/professional standing, or member of Engineering Guest Students"
E C E 431,DIGITAL SIGNAL PROCESSING,3,Sampling continuous-time signals and reconstruction of continuous-time signals from samples; spectral analysis of signals using the discrete Fourier transform; the fast Fourier transform and fast convolution methods; z-transforms; finite and infinite impulse response filter design techniques; signal flow graphs and introduction to filter implementation.,False,"E C E 330, graduate/professional standing, or member of Engineering Guest Students"
E C E 432,DIGITAL SIGNAL PROCESSING LABORATORY,3,"Implementation of digital signal processing algorithms on special-purpose and general-purpose hardware. Use of assembly and high-level languages, and simulator to develop and test IIR, FIR filters and the FFT for modern DSP chips. Scaling for fixed point arithmetic. Use of high level languages to implement real time, object oriented component based DSP systems in general purpose computers. DSP applications, including data and voice communication systems.",False,N/A
E C E 434,PHOTONICS,3,"Introduction to ray optics, physical optics and interference, applications of Fourier optics, absorption, dispersion, and polarization of light. Light sources, including lasers (gas, solid state, and semiconductor), modulation and detection of light.",False,"PHYSICS/E C E  235 and (E C E 320, PHYSICS 322, or concurrent enrollment in either one), graduate/professional standing, or member of Engineering Guest Students"
E C E/COMP SCI/MATH  435,INTRODUCTION TO CRYPTOGRAPHY,3,Cryptography is the art and science of transmitting digital information in a secure manner. Provides an introduction to its technical aspects.,False,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program"
E C E 436,COMMUNICATION SYSTEMS I,3,"Amplitude, frequency, pulse, and pulse-code modulation. Narrow-band noise representation and signal-to-noise ratios for various modulation schemes. Pulse shaping, timing recovery, carrier synchronization, and equalization. Sampling, quantization and coding.",False,N/A
E C E 437,COMMUNICATION SYSTEMS II,3,"Statistical analysis of information transmission systems. Probability of error, design of receivers for digital transmission through additive white Gaussian noise channels and bandlimited channels. Spread spectrum communication systems. Channel capacity, source and error control coding.",False,"(E C E 203 or 330), graduate/professional standing, or member of Engineering Guest Students"
E C E/M E  439,INTRODUCTION TO ROBOTICS,3,"Hands-on introduction to key concepts and tools underpinning robotic systems in use and development today. Intended to give students the tools to understand robotic systems, to explore robotics for their own purposes, and to pursue advanced study in the field. Students are expected to have familiarity with a high level programming language such as Python (recommended), MATLAB, Java or Julia.",False,Senior standing or member of Engineering Guest Students
E C E 445,SEMICONDUCTOR PHYSICS AND DEVICES,3,"Physics and properties of semiconductors, p-n junctions, metal-semiconductor contacts, homojunction and heterojunction bipolar transistor and physics, metal-oxide-semiconductor and heterostructure field-effect transistor and physics, thin-film resistors, memory devices, quantum devices.",False,"E C E 335, graduate/professional standing, or member of Engineering Guest Students"
E C E 447,APPLIED COMMUNICATIONS SYSTEMS,3,"Analysis with design problems of electronic communications circuits. Emphasis on the nonlinear effects of large-signal operation of active devices. Complete design of r.f. oscillator, amplifier, and mixer circuits.",False,"E C E 340 and 420, graduate/professional standing, or member of Engineering Guest Students"
E C E 453,EMBEDDED MICROPROCESSOR SYSTEM DESIGN,4,Hardware and software design for modern microprocessor-based embedded systems; study of the design process; emphasis on major team design project.,False,"E C E 315 and COMP SCI 300 (or COMP SCI 302 or 367 prior to Fall 2018), or graduate/professional standing, not open to special students. Students with credit for or may not enroll."
E C E 454,MOBILE COMPUTING LABORATORY,4,"End-to-end project management; teamwork; fundamentals of disciplined development practices; introduction to mobile computing platforms and systems; design, implementation, and deployment of mobile systems and applications.",False,"COMP SCI 400 (or COMP SCI 367 prior to Fall 2018), or graduate/professional standing, not open to special students. Students with credit for or may not enroll."
E C E/B M E  462,MEDICAL INSTRUMENTATION,3,"Design and application of electrodes, biopotential amplifiers, biosensors, therapeutic devices. Medical imaging. Electrical safety. Measurement of ventilation, blood pressure and flow.",False,"E C E 340, graduate/professional standing, or member of Engineering Guest Students"
E C E/B M E  463,COMPUTERS IN MEDICINE,3,"Study of microprocessor-based medical instrumentation. Emphasis on real-time analysis of electrocardiograms. Labs and programming project involve design of biomedical digital signal processing algorithms. Knowledge of computer programming language like C, C++ or Java, strongly encouraged.",False,"E C E 330 and (COMP SCI 200, 220, 300, 301, or placement into ), graduate/professional standing, or member of Engineering Guest Students"
E C E 466,ELECTRONICS OF SOLIDS,3,"Electronic, optical and thermal properties of crystalline solids. Energy-momentum dispersion of fundamental particles and excitations in solids leading to microscopic theories of conductivity, polarizability and permeability. Influence of materials characteristics on the performance of electronic and photonic devices.",False,"(E C E 305 or 335), graduate/professional standing, or member of Engineering Guest Students"
E C E 489,HONORS IN RESEARCH,1-3,Undergraduate honors research projects supervised by faculty members.,False,Consent of instructor
E C E 491,SENIOR DESIGN PROJECT,3,Engineering design projects supervised by faculty members.,False,Consent of instructor
E C E 504,ELECTRIC MACHINE & DRIVE SYSTEM LABORATORY,2-3,"Steady state and dynamic performance of electric machines in combination with power electronic converters. Parameter measurement, performance evaluation, design of experimental procedures for problem solving, use of digital data acquisition systems and signal processing equipment in system evaluation.",False,E C E 711 or concurrent enrollment
E C E/COMP SCI  506,SOFTWARE ENGINEERING,3,"Ideas and techniques for designing, developing, and modifying large software systems. Topics include software engineering processes; requirements and specifications; project team organization and management; software architectures; design patterns; testing and debugging; and cost and quality metrics and estimation. Students will work in large teams on a substantial programming project.",False,"(COMP SCI 367 or 400) and (COMP SCI 407, 536, 537, 545, 559, 564, 570, 679 or ) or graduate/professional standing, or declared in the Capstone Certificate in Computer Sciences for Professionals"
E C E 511,THEORY AND CONTROL OF SYNCHRONOUS MACHINES,3,"The idealized three phase synchronous machine time domain model including saliency, time invariant form using Park's transformation, sudden short circuits and other transient conditions, reduced order models, excitation system and turbine/governor control, dynamics of multiple machine systems, transient stability and subsynchronous resonance.",False,"E C E 411 and 427, graduate/professional standing, or member of Engineering Guest Students"
E C E 512,POWER ELECTRONICS LABORATORY,3,"This laboratory introduces the student to measurement and simulation of important operating characteristics of power electronic circuits and power semiconductor devices. Emphasis is on devices, circuits, gating methods and power quality.",False,"E C E 412, graduate/professional standing, or member of Engineering Guest Students"
E C E/COMP SCI/I SY E  524,INTRODUCTION TO OPTIMIZATION,3,"Introduction to mathematical optimization from a modeling and solution perspective. Formulation of applications as discrete and continuous optimization problems and equilibrium models. Survey and appropriate usage of basic algorithms, data and software tools, including modeling languages and subroutine libraries.",False,"(COMP SCI 200, 220, 300, 301, 302, 310, or placement into ) and (, , , or ) or graduate/professional standing"
E C E/N E/PHYSICS  525,INTRODUCTION TO PLASMAS,3,"Basic description of plasmas: collective phenomena and sheaths, collisional processes, single particle motions, fluid models, equilibria, waves, electromagnetic properties, instabilities, and introduction to kinetic theory and nonlinear processes. Examples from fusion, astrophysical and materials processing processing plasmas.",False,"(E C E 320 or PHYSICS 322), graduate/professional standing, or member of Engineering Guest Students"
E C E/N E/PHYSICS  527,PLASMA CONFINEMENT AND HEATING,3,"Principles of magnetic confinement and heating of plasmas for controlled thermonuclear fusion: magnetic field structures, single particle orbits, equilibrium, stability, collisions, transport, heating, modeling and diagnostics. Discussion of current leading confinement concepts: tokamaks, tandem mirrors, stellarators, reversed field pinches, etc.",False,"E C E/N E/PHYSICS  525, graduate/professional standing, or member of Engineering Guest Students"
E C E/N E  528,PLASMA PROCESSING AND TECHNOLOGY,3,"Introduction to basic understanding and techniques. Plasma processing of materials for semiconductors, polymers, plasma spray coatings, ion implantation, etching, arcs, extractive metallurgy and welding. Plasma and materials diagnostics.",False,N/A
E C E/COMP SCI/M E  532,MATRIX METHODS IN MACHINE LEARNING,3,"Linear algebraic foundations of machine learning featuring real-world applications of matrix methods from classification and clustering to denoising and data analysis. Mathematical topics include: linear equations, regression, regularization, the singular value decomposition, and iterative algorithms. Machine learning topics include: the lasso, support vector machines, kernel methods, clustering, dictionary learning, neural networks, and deep learning. Previous exposure to numerical computing (e.g. Matlab, Python, Julia, R) required.",False,"(MATH 234, 320, 340, 341, or 375) and (E C E 203, COMP SCI 200, 220, 300, 301, 302, 310, 320, or placement into COMP SCI 300), graduate/professional standing, or declared in Capstone Certificate in Computer Sciences for Professionals"
E C E/COMP SCI  533,IMAGE PROCESSING,3,"Mathematical representation of continuous and digital images; models of image degradation; picture enhancement, restoration, segmentation, and coding; pattern recognition, tomography.",False,"E C E 330 and (MATH 320 or 340), graduate/professional standing, or member of Engineering Guest Students"
E C E 536,INTEGRATED OPTICS AND OPTOELECTRONICS,3,Characteristics of semiconductors; study of physical mechanisms and modeling of solid state electronic and photonic devices; principles of optoelectronic processing and examples of integrated optoelectronics.,False,"E C E 335 and (E C E 420 or 434), graduate/professional standing, or member of Engineering Guest Students"
E C E 537,COMMUNICATION NETWORKS,3,"Study of communication networks with focus on performance analysis. Layered network structure. Basic protocol functions such as addressing, multiplexing, routing, forwarding, flow control, error control, and congestion response. Overview of transport, network, and link layer protocol standards. Introduction to wireless and mobile networks.",False,N/A
E C E/COMP SCI/M E  539,INTRODUCTION TO ARTIFICIAL NEURAL NETWORKS,3,"Theory and applications of artificial neural networks: multi-layer perceptron, self-organization mapdeep neural network convolutional neural network, recurrent network, support vector machines genetic algorithm, and evolution computing. Applications to control, pattern recognition, prediction, and object detection and tracking.",False,"COMP SCI 200, 220, 300, 301, 302, 310, placement into COMP SCI 300, or graduate/professional standing"
E C E 541,ANALOG MOS INTEGRATED CIRCUIT DESIGN,3,"Analysis, design and applications of modern analog circuits using integrated bipolar and field-effect transistor technologies. Provides the student with a working knowledge of the basic circuits used in modern analog integrated circuits and techniques for analysis and design.",False,"E C E 340, graduate/professional standing, or member of Engineering Guest Students"
E C E 542,INTRODUCTION TO MICROELECTROMECHANICAL SYSTEMS,3,"Introduction to MEMS technology, devices and systems. Fundamentals of MEMS in fabrication, process integration, material mechanics of MEMS structures, sensors and actuators. Main topics in MEMS - microfluidics, optical MEMS, RF MEMS, BioMEMS, packaging, and CAD.",False,"(E C E 335 or 340), graduate/professional standing, or member of Engineering Guest Students"
E C E 545,ADVANCED MICROWAVE MEASUREMENTS FOR COMMUNICATIONS,3,"Measurements at VHF and microwave frequencies; characteristics of microwave generators, amplifiers, passive devices and detection systems; measurement of frequency, noise and simple antenna patterns; time domain reflectometry, swept frequency network and spectrum analyzer techniques; lecture and lab.",False,"(E C E 440 or 447), graduate/professional standing, or member of Engineering Guest Students"
E C E/PHYSICS  546,LASERS,2-3,"General principles of laser operation; laser oscillation conditions; optical resonators; methods of pumping lasers, gas discharge lasers, e-beam pumped lasers, solid state lasers, chemical lasers, and dye lasers; gain measurements with lasers; applications of lasers.",False,"(PHYSICS 322 or E C E 420) and (PHYSICS 449, 531, or 545), graduate/professional standing, or member of Engineering Guest Students"
E C E 547,ADVANCED COMMUNICATIONS CIRCUIT DESIGN,3,"Principles underlying the design of r.f. and microwave communications circuits. Analysis and design of wideband nonlinear power amplifiers, S-parameter techniques for r.f. active circuit design, computer aided design techniques, r.f. integrated circuits, fundamentals of low noise r.f. design.",False,"(E C E 420 or 447), graduate/professional standing, or member of Engineering Guest Students"
E C E 548,INTEGRATED CIRCUIT DESIGN,3,"Bipolar and MOS devices in monolithic circuits. Device physics, fabrication technology. IC-design for linear and nonlinear circuitry.",False,"E C E 335, graduate/professional standing, or member of Engineering Guest Students"
E C E 549,INTEGRATED CIRCUIT FABRICATION LABORATORY,4,"Monolithic integrated circuit fabrication; mask making, photolithography, oxidation, diffusion, junction evaluation, metallization, packaging, and testing.",False,"(E C E 335 or 548), graduate/professional standing, or member of Engineering Guest Students"
E C E 551,DIGITAL SYSTEM DESIGN AND SYNTHESIS,3,Introduction to the use of hardware description languages and automated synthesis in design. Advanced design principles. Verilog and VHDL description languages. Synthesis from hardware description languages. Timing-oriented synthesis. Relation of integrated circuit layout to timing-oriented design. Design for reuse.,False,"E C E/COMP SCI  352, graduate/professional standing, or member of Engineering Guest Students"
E C E/COMP SCI  552,INTRODUCTION TO COMPUTER ARCHITECTURE,3,"The design of computer systems and components. Processor design, instruction set design, and addressing; control structures and microprogramming; memory management, caches, and memory hierarchies; and interrupts and I/O structures. E C E 551 or knowledge of Verilog is recommended.",False,(E C E/COMP SCI  352 and E C E/COMP SCI  354) or graduate/professional standing
E C E 553,TESTING AND TESTABLE DESIGN OF DIGITAL SYSTEMS,3,"Faults and fault modeling, test equipment, test generation for combinational and sequential circuits, fault simulation, memory and microprocessor testing, design for testability, built-in self-test techniques, and fault location.",False,"E C E/COMP SCI  352, E C E 353, and (COMP SCI 400 or 367 prior to Fall 2018), graduate/professional standing, or member of Engineering Guest Students"
E C E 554,DIGITAL ENGINEERING LABORATORY,4,"Practical aspects of computer system design. Design, construction, and testing of significant digital subsystems. Design, construction, and programming of pipelined digital computers.",False,"E C E 551 and E C E/COMP SCI  552, not open to special students. Students with credit for or may not enroll."
E C E 555,DIGITAL CIRCUITS AND COMPONENTS,3,Principles and characterization of logic circuits. Design and analysis techniques for applied logic circuits. Transmission lines in digital applications. Families of circuit logic currently in use and their characteristics.,False,"(E C E/COMP SCI  352 and E C E 340), graduate/professional standing, or member of Engineering Guest Students"
E C E 556,DESIGN AUTOMATION OF DIGITAL SYSTEMS,3,"Use of digital computers to simulate, partition, place and interconnect digital electronic systems.",False,"E C E/COMP SCI  352 and (COMP SCI 300 or 367 prior to Fall 2018), graduate/professional standing, or member of Engineering Guest Students"
E C E/COMP SCI  561,PROBABILITY AND INFORMATION THEORY IN MACHINE LEARNING,3,"Probabilistic tools for machine learning and analysis of real-world datasets. Introductory topics include classification, regression, probability theory, decision theory and quantifying information with entropy, relative entropy and mutual information. Additional topics include naive Bayes, probabilistic graphical models, discriminant analysis, logistic regression, expectation maximization, source coding and variational inference.",False,"(MATH 320, 340, 341, 375, or M E/COMP SCI/E C E  532 or concurrent enrollment) and (E C E 331, STAT/MATH  309, 431, STAT 311, 324, M E/STAT  424 or ) or grad/profsnl standing or declared in Capstone Certificate in Computer Sciences for Professionals"
E C E/I SY E  570,ETHICS OF DATA FOR ENGINEERS,3,"Introduction to ethical issues in data engineering and principled solutions. Algorithmic fairness (individual fairness, group fairness, counterfactual fairness), differential privacy and its applications, and robustness.",False,N/A
E C E/M E  577,AUTOMATIC CONTROLS LABORATORY,4,Control theory is reduced to engineering practice through the analysis and design of actual systems in the laboratory. Experiments are conducted with modern servo systems using both analog and digital control. Systems identification and modern controls design are applied to motion and torque control.,False,"M E 346 or E C E 332, or graduate/professional standing or member of Engineering Guest Students"
E C E 600,SEMINAR IN ELECTRICAL AND COMPUTER ENGINEERING,0,"Weekly or bi-weekly seminars on topics in electrical and computer engineering including automatic control, biomedical engineering, communications and signal processing, computer engineering, electromagnetic fields, energy and power systems, photonics, plasma, and solid state. Seminar on a particular topic may include lectures given by faculty, invited speakers, as well as group discussion.",False,None
E C E 601,SPECIAL TOPICS IN ELECTRICAL AND COMPUTER ENGINEERING,1-4,Advanced topics of special interest to students in various areas of Electrical and Computer Engineering.,False,Junior standing or member of Engineering Guest Students
E C E 610,SEMINAR IN ELECTRICAL AND COMPUTER ENGINEERING,1,"Survey of topics within the department of electrical and computer engineering that introduce students to the materials/techniques to assist them in being successful graduate students. Faculty seminars spanning energy and power systems, applied physics, electromagnetic fields, plasmas, communications and signal processing, controls, photonics, solid state, and computers will be given. Additionally, students will participate in weekly group exercises to enhance their skills in engineering/technical communications, writing, ethics, and project management.",False,Graduate/professional standing
E C E 611,INTRODUCTION TO DOCTORAL RESEARCH IN ELECTRICAL & COMPUTER ENGINEERING,2,"A focus on topics within the department of electrical and computer engineering that introduce students to the materials/techniques that will assist them in being successful graduate students. Faculty seminars spanning energy and power systems, applied physics, electromagnetic fields, plasmas, communications and signal processing, controls, photonics, solid state, and computers will be given. Additionally, students will participate in weekly group exercises to enhance their skills in engineering/technical communications, writing, ethics, and project management. Graded homework and a final project are assigned.",False,Graduate/professional standing
E C E/MATH  641,INTRODUCTION TO ERROR-CORRECTING CODES,3,"Coding theory. Codes (linear, Hamming, Golay, dual); decoding-encoding; Shannon's theorem; sphere-packing; singleton and Gilbert-Varshamov bounds; weight enumerators; MacWilliams identities; finite fields; other codes (Reed-Muller, cyclic, BCH, Reed-Solomon) and error-correction algorithms.",False,MATH 541 or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program
E C E 697,CAPSTONE PROJECT IN MACHINE LEARNING AND SIGNAL PROCESSING,5,Individual or team project to gain hands-on-experience applying machine learning and signal processing concepts.,False,Graduate/professional standing
E C E 699,ADVANCED INDEPENDENT STUDY,1-6,Directed study projects as arranged with instructor.,False,Consent of instructor
E C E 702,GRADUATE COOPERATIVE EDUCATION PROGRAM,1-2,Work experience that combines classroom theory with practical knowledge of operations to provide students with a background on which to develop and enhance a professional career. The work experience is tailored for MS students from within the U.S. as well as eligible international students.,False,Graduate/professional standing
E C E/COMP SCI  707,MOBILE AND WIRELESS NETWORKING,3,"Design and implementation of protocols, systems, and applications for mobile and wireless networking, particularly at the media access control, network, transport, and application layers. Focus is on the unique problems and challenges presented by the properties of wireless transmission, various device constraints such as limited battery power, and node mobility. Knower of computer networking is strongly encouraged, such as from COMP SCI 640 or E C E 537.",False,Graduate/professional standing
E C E 711,DYNAMICS AND CONTROL OF AC DRIVES,3,"Principles of power converters, two axis models of AC machines and AC drives, simulation of drive systems, analytical modeling of drives, dynamic behavior of induction and synchronous motors and drive systems.",False,E C E 411 and graduate/professional standing
E C E 712,SOLID STATE POWER CONVERSION,3,"Advanced course in power electronics which provides an understanding of switching power converters. Included are DC-to-DC, AC-to-DC, DC-to-AC, and AC-to-AC converters, commutation techniques, converter control, interfacing converters with real sources and loads.",False,E C E 412 and graduate/professional standing
E C E 713,ELECTROMAGNETIC DESIGN OF AC MACHINES,3,"Electromagnetic design concepts and application to AC machines, magnetic circuit concepts, calculation of equivalent circuit parameters of induction, synchronous and permanent magnet machines from geometric data, copper and iron loss calculations, theory and application of finite elements to electromagnetic devices.",False,(E C E 411 or 511) and graduate/professional standing
E C E 714,UTILITY APPLICATION OF POWER ELECTRONICS,3,"Power electronic application to utility systems is a rapidly growing field with major impact on the industry. Covers material on HVDC transmission, energy storage systems, renewable sources, static compensators, and flexible ac transmission systems.",False,N/A
E C E 717,LINEAR SYSTEMS,3,"Equilibrium points and linearization; natural and forced response of state equations; system equivalence and Jordan form; Lyapunov, asymptotic, and BIBO stability; controllability and duality; control-theoretic concepts such as pole-placement, stabilization, observers, dynamic compensation, and the separation principle. Knowledge of linear algebra [such as MATH 340] required.",False,Graduate/professional standing
E C E 719,OPTIMAL SYSTEMS,3,"Optimality considerations in the study of dynamical systems; applications to electrical systems gain selection, tuning, conditions for optimality, feedback and instability, iterative methods, filtering, prediction, smoothing, dynamic programming controller synthesis, stability and robustness criteria. Knowledge of State Space System Analysis [such as E C E 334] strongly encouraged.",False,Graduate/professional standing
E C E/B M I/COMP SCI/MED PHYS  722,COMPUTATIONAL OPTICS AND IMAGING,3,"Computational imaging includes all imaging methods that produce images as a result of computation on collected signals. Learn the tools to design new computational imaging methods to solve specific imaging problems. Provides an understanding of the physics of light propagation and measurement, and the computational tools to model it, including wave propagation, ray tracing, the radon transform, and linear algebra using matrix and integral operators and the computational tools to reconstruct an image, including linear inverse problems, neural networks, convex optimization, and filtered back-projection. Covers a variety of example computational imaging techniques and their applications including coded apertures, structured illumination, digital holography, computed tomography, imaging through scattering media, compressed sensing, and non-line-of-sight imaging.",False,Graduate/professional standing
E C E 723,ON-LINE CONTROL OF POWER SYSTEMS,3,"State estimation based on line-flow measurements. Detection and correction of incorrect on-line measurements. Reduction techniques. Network security evaluation. On-line contingency studies and contingency remedial action. Calculation of penalty factors and optimal power dispatch strategies. On-line stability determination. Parallel processors for on-line studies. Knowledge of basic probability analysis [such as E C E 331, STAT/MATH  431, or STAT 311] strongly encouraged.",False,Graduate/professional standing
E C E/N E/PHYSICS  724,WAVES AND INSTABILITIES IN PLASMAS,3,"Waves in a cold plasma, wave-plasma interactions, waves in a hot plasma, Landau damping, cyclotron damping, magneto-hydrodynamic equilibria and instabilities, microinstabilities, introduction to nonlinear processes, and experimental applications. Basic knowledge of plasmas [such as PHYSICS/E C E/N E  525] and advanced electromagnetics [such as PHYSICS 721 or E C E 740] strongly encouraged.",False,Graduate/professional standing
E C E/N E/PHYSICS  725,PLASMA KINETIC THEORY AND RADIATION PROCESSES,3,"Coulomb Collisions, Boltzmann equation, Fokker-Planck methods, dynamical friction, neoclassical diffusion, collision operators radiation processes and experimental applications. Basic knowledge of plasmas [such as PHYSICS/E C E/N E  525] and advanced electromagnetics [such as PHYSICS 721 or E C E 740] strongly encouraged.",False,Graduate/professional standing
E C E/N E/PHYSICS  726,PLASMA MAGNETOHYDRODYNAMICS,3,"MHD equations and validity in hot plasmas; magnetic structure and magnetic flux coordinates; equilibrium in various configurations; stability formulation, energy principle, classification of instabilities; ideal and resistive instability in various configurations, evolution of nonlinear tearing modes; force-free equilibria, helicity, MHD dynamo; experimental applications. Basic knowledge of plasmas [such as PHYSICS/E C E/N E  525] and advanced electromagnetics [such as PHYSICS 721 or E C E 740] strongly encouraged.",False,Graduate/professional standing
E C E 729,INFORMATION THEORY,3,"Definition of measures of information and their properties, capacity of discrete and continuous channels with noise, source and channel coding theorems, fundamentals of channel coding, noiseless source coding, and source coding with a fidelity criterion. Knowledge of basic probability analysis [such as E C E 331, STAT/MATH  431, or STAT 311] required.",False,Graduate/professional standing
E C E 730,PROBABILITY AND RANDOM PROCESSES,3,"Review of basic probability. Advanced probability concepts. Random vectors; linear filtering of random processes; stationarity; power spectral densities; estimation; convergence; Markov chains; Poisson process; Wiener process. Knowledge of basic probability analysis [such as E C E 331, STAT/MATH  431, or STAT 311] strongly encouraged.",False,Graduate/professional standing
E C E 731,ADVANCED POWER SYSTEM ANALYSIS,3,Electrical transients due to faults and switching. Effect on power system design and operation. Traveling waves and surge protection. Computerized analysis of power transients.,False,E C E 427 and graduate/professional standing
E C E 734,VLSI ARRAY STRUCTURES FOR DIGITAL SIGNAL PROCESSING,3,An overview of the architectures and design methodologies of VLSI array processors for digital signal processing. Emphasis is placed on the techniques of mapping algorithms onto array structures for real time signal processing. Knowledge of digital signal processing [such as E C E 431] and computer architecture [such as E C E/COMP SCI  552] strongly encouraged.,False,Graduate/professional standing
E C E 735,SIGNAL SYNTHESIS AND RECOVERY TECHNIQUES,3,"Signals and their representation. Signal synthesis subject to constraints on peak voltage, energy, duration-bandwidth product. The theory of alternating projections onto convex sets and applications to inverse problems in signal processing: signal recovery using incomplete data, image recovery in tomography using limited views, phase retrieval in optical astronomy.",False,Graduate/professional standing
E C E 736,WIRELESS COMMUNICATIONS,3,"Theory, design and analysis of mobile wireless communication systems from a signal processing perspective. Emphasis on code-division multiple-access (CDMA) systems employing direct-sequence spread-spectrum (DS-SS) signaling. Topics include characterization of mobile wireless channels, demodulation of DS-SS signals, diversity techniques, interference suppression methods, and low-complexity adaptive receivers. Knowledge of probability [such as E C E 730] and digital communication [such as E C E 437] strongly encouraged.",False,Graduate/professional standing
E C E 738,ADVANCED DIGITAL IMAGE PROCESSING,3,"Deterministic and stochastic spatio-temporal image models, transform domain processing, Markov random fields and anisotropic diffusion; MAP parameter estimation, ill-posed inverse problems, robust statistics and non-linear digital filtering in image processing. Applications to image restoration, motion estimation, (video) image compression (MPEG, JPEG) and tomography. Knowledge of image processing [such as E C E/COMP SCI  533] strongly encouraged.",False,Graduate/professional standing
